Hospital CCN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,Year
10001,0.9975,0.25,0.17311747257067295,2.0,0.9652401658898525,296.0,0.948341243039402,0.9956159088685782,N,0.026661015350900534,130.0,0.9330254350001719,0.9942073336876457,N,0.006264632692709293,681.0,1.0597095151934273,0.9875387769508424,Y,0.03633648870543892,490.0,0.9715062433603475,0.9895450428374731,N,0.030555146202871992,151.0,0.9509420304299111,0.9965677593556449,N,0.030183361934717882,34.0,0.9653700427583625,0.9887557121503352,N,0.0023980488193927132,2025
10005,1.0,0.0,0.14411927112092768,1.0,0.9652401658898525,22.0,0.997196985850594,0.995675010508486,N,0.004649714090679226,144.0,0.8696015971014367,0.9940255543582526,N,0.020628012890397427,176.0,0.9934704446396924,0.9946720669882169,N,0.026678611502086415,305.0,0.8494847209662372,0.994412708722198,N,0.04786833325156303,,,0.9982030598743986,N,,144.0,0.8497166474823963,0.9912634885185792,N,0.03115960266855779,2025
10006,0.9967,0.33,0.12191750525268163,1.0,0.9652401658898525,315.0,0.9703907774981834,0.995675010508486,N,0.04376773474756668,154.0,0.9462625412281117,0.9940255543582526,N,0.01039550916367056,508.0,0.9666490741823068,0.9946720669882169,N,0.03635596410025833,621.0,1.0111687891337295,0.994412708722198,Y,0.05358875736894713,91.0,1.084640759984941,0.9982030598743986,Y,0.028867724507613834,90.0,0.9762026286099817,0.9912634885185792,N,0.008749596658024408,2025
10007,0.9947,0.53,0.21384039900249377,3.0,0.9652401658898525,9.0,1.0139228677544398,0.9957811669727048,N,0.004624906520860818,41.0,1.027727871796807,0.9923632310191453,Y,0.02278360444804644,35.0,1.0674143805866543,0.9955174650225612,Y,0.020688961063219508,85.0,1.048829061309353,0.9911516018458711,Y,0.055575034877910746,,,0.994297464519125,N,,33.0,0.9694857832349064,0.9962921146537274,N,0.030985855707103722,2025
10008,1.0,0.0,0.3126934984520124,4.0,0.9652401658898525,6.0,1.0226452763136105,0.9972451343036803,N,0.014606051579812833,18.0,0.9859208350825642,0.9968970254960402,N,0.035874512652171876,15.0,1.007285261440045,1.003218314454938,N,0.03633722531536071,21.0,0.9999574457057615,1.0001746129360338,N,0.046360218135969786,,,1.0061312556211706,N,,,,0.9900941645738802,N,,2025
10011,0.9929,0.7100000000000001,0.1394250304754165,1.0,0.9652401658898525,148.0,0.9675125783178029,0.995675010508486,N,0.02791045937626882,58.0,1.0119847159495703,0.9940255543582526,Y,0.005488798184422318,295.0,1.0439339641860643,0.9946720669882169,Y,0.03144600360840635,344.0,1.0588978935455862,0.994412708722198,Y,0.041877158789257574,70.0,1.1145771317115356,0.9982030598743986,Y,0.025429610446964235,32.0,0.9541473666820864,0.9912634885185792,N,0.004052603138455556,2025
10012,0.9973,0.27,0.15674984005118361,2.0,0.9652401658898525,57.0,1.0125375974359005,0.9956159088685782,Y,0.02485243868431173,28.0,1.0043867607367918,0.9942073336876457,Y,0.009603255668344449,84.0,1.0504650284803778,0.9875387769508424,Y,0.03649760063687658,160.0,0.9684622879010119,0.9895450428374731,N,0.07779361552195718,,,0.9965677593556449,N,,63.0,0.9055007712160055,0.9887557121503352,N,0.040254688231929306,2025
10016,0.9939,0.61,0.10471670127558588,1.0,0.9652401658898525,77.0,1.0185542235353477,0.995675010508486,Y,0.021090968162262306,48.0,0.9794068773189601,0.9940255543582526,N,0.006132766837582912,229.0,1.0004578055156605,0.9946720669882169,Y,0.03410275182616121,214.0,1.0433672548748236,0.994412708722198,Y,0.038221381318839835,37.0,1.079179694873369,0.9982030598743986,Y,0.021005862816461662,71.0,1.1476897421504948,0.9912634885185792,Y,0.012907689124519181,2025
10019,0.9976,0.24,0.12046461501616573,1.0,0.9652401658898525,15.0,1.0044623829816324,0.995675010508486,N,0.0021052458376510956,162.0,1.0188454873701491,0.9940255543582526,Y,0.024015115828242246,254.0,0.9294314310429677,0.9946720669882169,N,0.03875032799435955,236.0,1.0440595864597735,0.994412708722198,Y,0.03848427863010932,,,0.9982030598743986,N,,73.0,0.9039412043756626,0.9912634885185792,N,0.017234746650450054,2025
10021,0.9942,0.58,0.22789425706472197,3.0,0.9652401658898525,2.0,0.9930373253887226,0.9957811669727048,N,0.0022511975005086574,31.0,0.9912345607872793,0.9923632310191453,N,0.038500305194514084,34.0,1.0522216682997916,0.9955174650225612,Y,0.03143979391611117,65.0,1.058022956987681,0.9911516018458711,Y,0.063778411540146,,,0.994297464519125,N,,,,0.9962921146537274,N,,2025
